daily_cac.cohort_date,Apple Search Ads,Facebook,Instagram,Google Ads,Tiktok,New_Customers,Day of the Week
2022-11-22,0.0,81.64,52.58,422.6,0.0,42,Tuesday
2022-11-21,0.0,163.76,43.38,5906.22,17.5,31,Monday
2022-11-20,0.0,159.18,46.74,0.0,196.84,20,Sunday
2022-11-19,0.0,144.42,57.76,318.82,196.98,28,Saturday
2022-11-18,0.0,167.86,22.04,3240.94,196.54,30,Friday
2022-11-17,0.0,168.46,22.54,3043.78,196.38,36,Thursday
2022-11-16,0.0,182.44,25.68,3173.4,196.98,43,Wednesday
2022-11-15,0.0,158.2,38.38,4354.54,198.7,38,Tuesday
2022-11-14,0.0,156.38,51.7,7040.56,200.0,36,Monday
2022-11-13,0.0,136.9,67.22,335.3,195.52,39,Sunday
2022-11-12,0.0,151.12,54.14,482.14,199.22,31,Saturday
2022-11-11,0.0,104.56,88.5,4739.200000000001,198.48,34,Friday
2022-11-10,0.0,39.54,152.38,3795.52,195.66,32,Thursday
2022-11-09,0.0,43.88,155.2,4151.7,196.8,38,Wednesday
2022-11-08,0.0,33.1,164.18,3947.78,196.78,32,Tuesday
2022-11-07,0.0,2.68,73.58,7122.4,195.32,35,Monday
2022-11-06,0.0,0.0,0.0,0.0,195.66,20,Sunday
2022-11-05,0.0,0.0,0.0,197.02,198.54,21,Saturday
2022-11-04,0.0,0.0,0.0,3604.2,189.92,40,Friday
2022-11-03,0.0,0.0,0.0,3576.24,199.28,29,Thursday
2022-11-02,0.0,0.0,0.0,3617.3,194.18,34,Wednesday
2022-11-01,0.0,0.0,0.0,3198.64,195.02,41,Tuesday
2022-10-31,0.0,0.0,0.0,4916.36,193.68,34,Monday
2022-10-30,0.0,0.0,0.0,0.0,195.36,32,Sunday
2022-10-29,0.0,0.0,0.0,177.22,191.66,22,Saturday
2022-10-28,0.0,0.0,0.0,3464.76,119.34,35,Friday
2022-10-27,0.0,0.0,0.0,3456.02,0.0,28,Thursday
2022-10-26,0.0,0.0,0.0,3436.86,0.0,40,Wednesday
2022-10-25,0.0,0.0,0.0,3758.28,0.0,30,Tuesday
2022-10-24,0.0,0.0,0.0,4473.86,0.0,27,Monday
2022-10-23,0.0,0.0,0.0,0.0,0.0,20,Sunday
2022-10-22,0.0,0.0,0.0,131.74,0.0,24,Saturday
2022-10-21,0.0,0.0,0.0,3876.24,0.0,19,Friday
2022-10-20,0.0,0.0,0.0,3906.4,0.0,40,Thursday
2022-10-19,0.0,0.0,0.0,3943.82,0.0,31,Wednesday
2022-10-18,0.0,0.0,0.0,5557.2,0.0,29,Tuesday
2022-10-17,0.0,0.0,0.0,3303.94,21.0,27,Monday
2022-10-16,0.0,0.0,0.0,0.0,196.54,29,Sunday
2022-10-15,0.0,0.0,0.0,118.16,196.52,20,Saturday
2022-10-14,0.0,0.0,0.0,3474.28,196.72,41,Friday
2022-10-13,0.0,0.0,0.0,3443.46,194.2,40,Thursday
2022-10-12,0.0,14.28,137.94,3744.66,196.9,31,Wednesday
2022-10-11,0.0,18.36,183.44,3808.24,197.16,54,Tuesday
2022-10-10,0.0,28.72,171.46,3668.36,198.82,38,Monday
2022-10-09,0.0,44.72,161.24,0.0,197.9,40,Sunday
2022-10-08,0.0,43.18,156.62,146.4,197.58,29,Saturday
2022-10-07,0.0,39.26,156.2,4990.58,196.0,43,Friday
2022-10-06,0.0,6.0,33.78,4561.48,198.54,53,Thursday
2022-10-05,0.0,0.92,18.74,3931.66,196.82,47,Wednesday
2022-10-04,0.0,1.92,18.58,5726.52,199.72,43,Tuesday
2022-10-03,0.0,2.4,18.0,4022.96,196.78,26,Monday
2022-10-02,0.0,2.42,17.52,0.0,197.76,30,Sunday
2022-10-01,0.0,3.66,15.98,158.88,200.0,28,Saturday
2022-09-30,0.0,5.8,13.44,5001.82,198.24,34,Friday
2022-09-29,0.0,2.26,16.56,3333.68,198.8,32,Thursday
2022-09-28,0.0,1.96,17.22,3146.78,198.68,39,Wednesday
2022-09-27,0.0,4.74,14.72,3105.08,194.18,47,Tuesday
2022-09-26,0.0,4.64,16.08,1447.48,200.0,52,Monday
2022-09-25,0.0,7.78,14.18,0.0,199.92,67,Sunday
2022-09-24,0.0,4.02,16.3,113.08,200.0,35,Saturday
2022-09-23,0.0,2.3,16.56,3257.2,199.9,43,Friday
2022-09-22,0.0,3.24,16.44,2989.46,200.0,52,Thursday
2022-09-21,0.0,3.54,15.82,3217.98,200.0,48,Wednesday
2022-09-20,0.0,4.7,14.82,3804.32,199.98,43,Tuesday
2022-09-19,0.0,2.46,18.62,2081.66,200.0,25,Monday
2022-09-18,0.0,1.32,19.08,0.0,199.76,28,Sunday
2022-09-17,0.0,2.02,18.24,70.14,200.0,31,Saturday
2022-09-16,0.0,3.7,16.24,3389.24,200.0,39,Friday
2022-09-15,0.0,4.88,14.34,4054.1,199.5,39,Thursday
2022-09-14,0.0,3.68,15.5,4170.72,200.0,36,Wednesday
2022-09-13,0.0,5.48,13.96,5299.48,200.0,34,Tuesday
2022-09-12,0.0,3.4,16.56,2260.72,199.94,30,Monday
2022-09-11,0.0,1.84,18.36,0.0,199.6,26,Sunday
2022-09-10,0.0,4.4,16.24,246.84,199.18,27,Saturday
2022-09-09,0.0,2.48,16.42,2428.04,199.1,32,Friday
2022-09-08,0.0,4.08,15.1,3216.72,198.16,39,Thursday
2022-09-07,0.0,2.34,16.42,3590.18,199.92,36,Wednesday
2022-09-06,0.0,6.36,14.46,4811.96,200.0,52,Tuesday
2022-09-05,0.0,4.74,15.76,3047.26,197.72,45,Monday
2022-09-04,0.0,4.66,15.66,0.0,199.04,28,Sunday
2022-09-03,0.0,2.36,16.92,144.94,197.62,34,Saturday
2022-09-02,0.0,4.82,14.68,3364.08,199.3,25,Friday
2022-09-01,0.0,1.6,18.56,3427.64,199.32,49,Thursday
2022-08-31,0.0,2.4,16.52,3641.74,200.0,45,Wednesday
2022-08-30,0.0,2.84,17.88,3795.04,200.0,58,Tuesday
